Applicant_ID,Identity_Card,Name,Age,Gender,Education_Level,Field_of_Study,Education_Background,Skills,Graduation_Year,Experience_Years,Certifications,Job_Applied,Required_Education_Levels,Required_Fields,Required_Min_Experience,Required_Max_Experience,Required_Skills,Required_Certifications,Shortlisted
29,1197570005646417,MUKAMURENZI Paul,50,Female,Bachelor's,Computer Science,Bachelor's in Computer Science,"SQL, Algorithms, Python, Machine Learning, Data Structures",1997,28,Azure Fundamentals,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
30,1198980007193745,RUKUNDO Marie,36,Male,Diploma,Information Technology,Diploma in Information Technology,"Windows Server, Networking, Cloud Computing, ITIL",2009,16,"CEH, CISM",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
31,1196770001491905,MUKASHYAKA Jean,58,Female,Master's,Engineering,Master's in Engineering,"AutoCAD, Technical Drawing, SolidWorks, Quality Control, MATLAB",1994,31,"PE License, LEED, PMI-PMP",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
32,1199370009877694,MUKANDORI Eric,32,Female,Master's,Accounting,Master's in Accounting,"CPA, Financial Reporting, Auditing, Excel",2023,2,CIA,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",1
33,1197370002735454,MUKAMURENZI Florence,52,Female,Bachelor's,Economics,Bachelor's in Economics,"Data Visualization, Econometrics, Statistical Analysis",1997,28,Certified Business Economist,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
34,2198970007701436,MUKARUHOGO Emmanuel,36,Female,Bachelor's,Education,Bachelor's in Education,"Educational Technology, Curriculum Development, Classroom Management, Assessment, Lesson Planning",2012,13,"CPCE, National Board Certification",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
35,1198870001351823,MUKAGASANA Peter,37,Female,Diploma,Business Administration,Diploma in Business Administration,"Business Analysis, Negotiation, Project Management, Leadership, Communication",2011,14,"CAPM, Six Sigma",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
36,1197080004008427,RUTAYISIRE Florence,55,Male,PhD,Information Technology,PhD in Information Technology,"Cybersecurity, Database Administration, ITIL, Windows Server, Networking",1997,28,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
37,2200070007190229,MUKARUHOGO Jean,25,Female,Diploma,Economics,Diploma in Economics,"Econometrics, Statistical Analysis, R",2022,3,Certified Business Economist,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
38,1197670009649909,MUKARUHOGO Theogene,49,Female,Master's,Economics,Master's in Economics,"Econometrics, Forecasting, Python",2005,20,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
39,1196980002067974,TWAGIRAYEZU Marie,56,Male,PhD,Computer Science,PhD in Computer Science,"Data Structures, Algorithms, SQL, Python, Java",1999,26,"Oracle Java, Azure Fundamentals",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
40,1199070004210249,MUKAMANA Emmanuel,35,Female,Bachelor's,Education,Bachelor's in Education,"Lesson Planning, Assessment, Curriculum Development, Classroom Management, Educational Technology",2014,11,"National Board Certification, TESOL",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
41,1197780009401399,RUKUNDO Florence,48,Male,PhD,Economics,PhD in Economics,"Data Visualization, Statistical Analysis, Econometrics, R, Python",2004,21,"CFA, FRM",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
42,2198270005512567,MUKAMANA Diane,43,Female,Bachelor's,Accounting,Bachelor's in Accounting,"Excel, Financial Reporting, Auditing",2007,18,"CMA, CPA",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
43,2200470006038597,MUKAYIRANGA Grace,21,Female,Diploma,Nursing,Diploma in Nursing,"Emergency Response, Medical Records, Healthcare Ethics",2025,0,"NCLEX-RN, CCRN",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
44,1196680002480861,HABIMANA Patrick,59,Male,PhD,Business Administration,PhD in Business Administration,"Leadership, Strategic Planning, Communication, Project Management, Negotiation, Business Analysis",1994,31,"CFA, MBA, PMP",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
45,1198070009821465,MUKAYIRANGA Marie,45,Female,PhD,Economics,PhD in Economics,"Statistical Analysis, Python, Data Visualization, R, Econometrics",2015,10,FRM,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
46,2196970007533963,MUKAMURENZI Claudine,56,Female,Bachelor's,Law,Bachelor's in Law,"Litigation, Corporate Law, Compliance",1994,31,"CPLP, Bar Admission, Certified Legal Manager",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
47,1196780001718702,NSENGIYUMVA Emmanuel,58,Male,PhD,Marketing,PhD in Marketing,"Google Analytics, Social Media, Email Marketing",1996,29,"Google Analytics Certification, HubSpot Certification, Facebook Blueprint",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
48,1197070009134316,MUKARUHOGO Grace,55,Female,PhD,Information Technology,PhD in Information Technology,"Linux, ITIL, Windows Server, Networking, Cybersecurity, Database Administration",1998,27,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
49,1197770003869222,MUKAMURENZI Claudine,48,Female,Master's,Computer Science,Master's in Computer Science,"SQL, Web Development, Data Structures, Java, Algorithms, Machine Learning",2005,20,"CISSP, CompTIA Security+",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
50,1198680001759464,MUTABAZI Theogene,39,Male,Diploma,Marketing,Diploma in Marketing,"Google Analytics, Market Research, SEO, Email Marketing",2008,17,"Facebook Blueprint, PCM, HubSpot Certification",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
51,1197970000909743,MUKAMUSONERA Grace,46,Female,Diploma,Nursing,Diploma in Nursing,"Healthcare Ethics, Emergency Response, Medical Records, CPR",2001,24,BLS,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
52,1197680009521456,RUTAYISIRE Olivier,49,Male,Bachelor's,Information Technology,Bachelor's in Information Technology,"Database Administration, Cloud Computing, Windows Server, ITIL",1999,26,ITIL Foundation,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
53,1198370007123685,MUKAGASANA Alice,42,Female,PhD,Computer Science,PhD in Computer Science,"Data Structures, Web Development, Python",2016,9,"CompTIA Security+, Oracle Java, CISSP",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
54,2199070000985931,MUKAMURENZI Jean,35,Female,Master's,Nursing,Master's in Nursing,"Healthcare Ethics, Medical Records, CPR, Patient Care, Clinical Skills, Emergency Response",2020,5,None,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
55,1199870008267586,MUKARUHOGO Jean,27,Female,Bachelor's,Engineering,Bachelor's in Engineering,"Quality Control, AutoCAD, Project Management, SolidWorks, MATLAB, Technical Drawing",2021,4,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
56,1197670005158506,MUKASHYAKA Diane,49,Female,Bachelor's,Business Administration,Bachelor's in Business Administration,"Communication, Leadership, Strategic Planning",1999,26,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
57,1199680001839335,HABIYAREMYE Paul,29,Male,PhD,Education,PhD in Education,"Curriculum Development, Classroom Management, Lesson Planning",2023,2,"TESOL, Teaching License",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
58,1198280009502402,NSENGIYUMVA Florence,43,Male,Master's,Education,Master's in Education,"Lesson Planning, Assessment, Classroom Management",2009,16,"Teaching License, TESOL",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
59,1197180007007661,RUKUNDO Florence,54,Male,PhD,Engineering,PhD in Engineering,"AutoCAD, SolidWorks, MATLAB",2005,20,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
60,1196780006984789,RUTAYISIRE Chantal,58,Male,PhD,Marketing,PhD in Marketing,"Market Research, Email Marketing, Content Marketing",1995,30,"PCM, Google Analytics Certification, HubSpot Certification",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
61,1197870005654527,MUKARUHOGO Eric,47,Female,PhD,Computer Science,PhD in Computer Science,"Java, SQL, Python",2006,19,"Azure Fundamentals, AWS Certified",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
62,2198270000494519,MUKAMANA Eric,43,Female,Bachelor's,Engineering,Bachelor's in Engineering,"Quality Control, Project Management, MATLAB, AutoCAD",2005,20,"PMI-PMP, PE License",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
63,1197770009402445,MUKANDAYA Paul,48,Female,Bachelor's,Accounting,Bachelor's in Accounting,"CPA, Taxation, QuickBooks, Excel",1999,26,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
64,1197180006675254,HABIMANA Jean,54,Male,PhD,Education,PhD in Education,"Lesson Planning, Classroom Management, Educational Technology",2003,22,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
65,2197780009764381,RUTAYISIRE Diane,48,Male,Diploma,Accounting,Diploma in Accounting,"Auditing, SAP, QuickBooks",2000,25,"CFA, CMA, CPA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
66,1200180003432445,KALISA Chantal,24,Male,Bachelor's,Information Technology,Bachelor's in Information Technology,"ITIL, Cybersecurity, Linux, Cloud Computing, Database Administration, Networking",2023,2,"CCNA, CISM",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
67,1197580005969664,KALISA Florence,50,Male,Bachelor's,Information Technology,Bachelor's in Information Technology,"Windows Server, Linux, Cloud Computing",2000,25,"ITIL Foundation, CCNA, CompTIA A+",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
68,2196780008164535,TWAGIRAYEZU Eric,58,Male,PhD,Education,PhD in Education,"Educational Technology, Lesson Planning, Curriculum Development",1996,29,CPCE,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
69,1199870004329212,MUKANDORI Paul,27,Female,Bachelor's,Economics,Bachelor's in Economics,"Data Visualization, Forecasting, R, Python, Econometrics, Statistical Analysis",2023,2,FRM,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
70,1198580009058147,MUTABAZI Diane,40,Male,Bachelor's,Marketing,Bachelor's in Marketing,"Social Media, Market Research, SEO",2007,18,None,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
71,1196970007935978,MUKARUHOGO Chantal,56,Female,PhD,Information Technology,PhD in Information Technology,"Networking, Windows Server, Database Administration, Linux, Cloud Computing, ITIL",1996,29,"CISM, CompTIA A+, CEH",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
72,1197870009051518,MUKAGASANA Eric,47,Female,Master's,Nursing,Master's in Nursing,"Medical Records, Clinical Skills, Emergency Response, CPR, Patient Care",2005,20,PALS,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
73,1196670004865281,MUKANYIRABUKA Marie,59,Female,Bachelor's,Nursing,Bachelor's in Nursing,"Patient Care, Medical Records, Clinical Skills, Healthcare Ethics, CPR",1991,34,"NCLEX-RN, ACLS",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
74,1200080001888059,NSENGIYUMVA Marie,25,Male,Bachelor's,Information Technology,Bachelor's in Information Technology,"Linux, Database Administration, Cloud Computing, ITIL",2025,0,"CCNA, CISM, CompTIA A+",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
75,2198680003834735,MUTABAZI Chantal,39,Male,Diploma,Nursing,Diploma in Nursing,"Medical Records, CPR, Clinical Skills, Patient Care, Healthcare Ethics, Emergency Response",2009,16,"BLS, NCLEX-RN",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
76,1199870004124782,MUKAYIRANGA Theogene,27,Female,PhD,Law,PhD in Law,"Contract Law, Corporate Law, Litigation",2025,0,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
77,1197270003615305,MUKAMUSONERA Eric,53,Female,Bachelor's,Economics,Bachelor's in Economics,"Econometrics, Forecasting, Statistical Analysis, Data Visualization, Python",1994,31,Certified Business Economist,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
